ticker,cagr,max_dd,winrate,n_days,n_trades,last_date
ULTRACEMCO.NS,0.0,0.0,0.0,1225,0,2025-09-12
TATAMOTORS.NS,0.0,0.0,0.0,1225,0,2025-09-12
TATAELXSI.NS,0.0,0.0,0.0,1225,0,2025-09-12
NTPC.NS,0.0,0.0,0.0,1225,0,2025-09-12
WIPRO.NS,0.0,0.0,0.0,1225,0,2025-09-12
INDUSTOWER.NS,0.0,0.0,0.0,1225,0,2025-09-12
PHOENIXLTD.NS,0.0,0.0,0.0,1225,0,2025-09-12
HINDALCO.NS,0.0,0.0,0.0,1225,0,2025-09-12
OIL.NS,0.0,0.0,0.0,1225,0,2025-09-12
UPL.NS,0.0,0.0,0.0,1225,0,2025-09-12
OFSS.NS,0.0,0.0,0.0,1225,0,2025-09-12
NMDC.NS,0.0,0.0,0.0,1225,0,2025-09-12
HDFCBANK.NS,0.0,0.0,0.0,1225,0,2025-09-12
MARUTI.NS,0.0,0.0,0.0,1225,0,2025-09-12
BRITANNIA.NS,0.0,0.0,0.0,1225,0,2025-09-12
AIAENG.NS,0.0,0.0,0.0,1225,0,2025-09-12
M&M.NS,0.0,0.0,0.0,1225,0,2025-09-12
ITC.NS,0.0,0.0,0.0,1225,0,2025-09-12
ASTRAL.NS,0.0,0.0,0.0,1225,0,2025-09-12
HDFCAMC.NS,0.0,0.0,0.0,1225,0,2025-09-12
LT.NS,0.0,0.0,0.0,1225,0,2025-09-12
TITAN.NS,0.0,0.0,0.0,1225,0,2025-09-12
LUPIN.NS,0.0,0.0,0.0,1225,0,2025-09-12
BSE.NS,0.0,0.0,0.0,1225,0,2025-09-12
TIINDIA.NS,0.0,0.0,0.0,1225,0,2025-09-12
POWERGRID.NS,0.0,0.0,0.0,1225,0,2025-09-12
PETRONET.NS,0.0,0.0,0.0,1225,0,2025-09-12
MAXHEALTH.NS,0.0,0.0,0.0,1225,0,2025-09-12
CROMPTON.NS,0.0,0.0,0.0,1225,0,2025-09-12
JSWSTEEL.NS,0.0,0.0,0.0,1225,0,2025-09-12
NAVINFLUOR.NS,0.0,0.0,0.0,1225,0,2025-09-12
LTIM.NS,0.0,0.0,0.0,1225,0,2025-09-12
GOKEX.NS,0.0,0.0,0.0,1225,0,2025-09-12
LODHA.NS,0.0,0.0,0.0,1078,0,2025-09-12
NEWGEN.NS,0.0,0.0,0.0,1225,0,2025-09-12
IDEA.NS,0.0,0.0,0.0,1225,0,2025-09-12
HCLTECH.NS,0.0,0.0,0.0,1225,0,2025-09-12
GRASIM.NS,0.0,0.0,0.0,1225,0,2025-09-12
TECHM.NS,0.0,0.0,0.0,1225,0,2025-09-12
PERSISTENT.NS,0.0,0.0,0.0,1225,0,2025-09-12
MUTHOOTFIN.NS,0.0,0.0,0.0,1225,0,2025-09-12
CONCOR.NS,0.0,0.0,0.0,1225,0,2025-09-12
AXISBANK.NS,0.0,0.0,0.0,1225,0,2025-09-12
BAJAJFINSV.NS,0.0,0.0,0.0,1225,0,2025-09-12
TORNTPHARM.NS,0.0,0.0,0.0,1225,0,2025-09-12
PGEL.NS,0.0,0.0,0.0,1225,0,2025-09-12
SBICARD.NS,0.0,0.0,0.0,1225,0,2025-09-12
SUNPHARMA.NS,0.0,0.0,0.0,1225,0,2025-09-12
PIIND.NS,0.0,0.0,0.0,1225,0,2025-09-12
ARVIND.NS,0.0,0.0,0.0,1225,0,2025-09-12
TATAPOWER.NS,0.0,0.0,0.0,1225,0,2025-09-12
RELIANCE.NS,0.0,0.0,0.0,1225,0,2025-09-12
KOTAKBANK.NS,0.0,0.0,0.0,1225,0,2025-09-12
NYKAA.NS,0.0,0.0,0.0,938,0,2025-09-12
