ticker,last_date_x,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason,cagr,max_dd,winrate,n_days,n_trades,last_date_y
FEDERALBNK.NS,2025-09-12,2025-09-12,194.36,0.578,False,,0.69,False,HOLD,,,3.184,46.175,5308248,Financial Services,Banks - Regional,,False,False,False,False,0.0164,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
CIPLA.NS,2025-09-12,2025-09-12,1574.6,0.134,False,,0.65,True,HOLD,,,24.382,55.888,1090199,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,True,0.0155,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
INDUSTOWER.NS,2025-09-12,2025-09-12,361.85,0.097,False,,0.62,False,SELL,371.58,347.25,9.734,59.901,11135774,Communication Services,Telecom Services,1.5,True,False,False,False,0.0269,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HINDUNILVR.NS,2025-09-12,2025-09-12,2580.5,0.729,False,,0.63,True,HOLD,2529.96,2656.3,50.535,46.201,1724636,Consumer Defensive,Household & Personal Products,1.5,False,False,False,True,0.0196,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TORNTPOWER.NS,2025-09-12,2025-09-12,1267.8,0.81,False,,0.7,False,HOLD,,,30.098,44.058,626478,Utilities,Utilities - Independent Power Producers,,False,False,False,False,0.0237,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
OBEROIRLTY.NS,2025-09-12,2025-09-12,1601.9,0.511,False,,0.7,False,HOLD,,,34.678,37.441,404581,Real Estate,Real Estate - Development,,False,True,False,False,0.0216,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GUJGASLTD.NS,2025-09-12,2025-09-12,431.05,0.92,False,,0.7,False,HOLD,,,10.935,46.501,269028,Utilities,Utilities - Regulated Gas,,False,False,False,False,0.0254,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BANKBARODA.NS,2025-09-12,2025-09-12,237.48,0.615,False,,0.7,False,HOLD,,,4.118,48.769,6111762,Financial Services,Banks - Regional,,False,False,False,True,0.0173,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
SRF.NS,2025-09-12,2025-09-12,2971.7,0.471,False,,0.52,False,HOLD,,,61.376,54.239,375907,Industrials,Conglomerates,,False,False,False,False,0.0207,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HDFCAMC.NS,2025-09-12,2025-09-12,5798.5,0.067,False,,0.69,True,HOLD,,,117.396,59.726,359780,Financial Services,Asset Management,,False,False,False,True,0.0202,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
BAJAJ-AUTO.NS,2025-09-12,2025-09-12,8999.5,0.397,False,,0.46,True,HOLD,,,198.471,56.315,516897,Consumer Cyclical,Auto Manufacturers,,False,False,True,True,0.0221,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
MARICO.NS,2025-09-12,2025-09-12,734.55,0.436,False,,0.58,True,HOLD,,,12.915,55.439,1813720,Consumer Defensive,Household & Personal Products,,False,False,True,True,0.0176,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
SUPREMEIND.NS,2025-09-12,2025-09-12,4532.7,0.794,False,,0.69,True,HOLD,4414.44,4710.09,118.259,54.666,172092,Industrials,Building Products & Equipment,1.5,False,True,False,True,0.0261,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HEROMOTOCO.NS,2025-09-12,2025-09-12,5301.5,0.508,False,,0.63,True,HOLD,,,120.734,66.276,1009313,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0228,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
HINDPETRO.NS,2025-09-12,2025-09-12,398.75,0.22,False,,0.47,False,SELL,407.46,385.69,8.706,53.204,2866398,Energy,Oil & Gas Refining & Marketing,1.5,False,False,False,True,0.0218,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
GOKEX.NS,2025-09-12,2025-09-12,764.95,0.92,False,,0.58,False,HOLD,,,31.461,51.333,545749,Consumer Cyclical,Apparel Manufacturing,,False,False,False,False,0.0411,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
SUZLON.NS,2025-09-12,2025-09-12,57.11,0.38,False,,0.68,False,HOLD,,,1.389,39.272,55691184,Industrials,Specialty Industrial Machinery,,False,False,False,False,0.0243,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
WIPRO.NS,2025-09-12,2025-09-12,251.94,0.4,False,,0.56,False,HOLD,,,4.996,52.986,7929294,Technology,Information Technology Services,,False,False,False,False,0.0198,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
DRREDDY.NS,2025-09-12,2025-09-12,1316.7,0.872,False,,0.65,True,HOLD,1292.3,1353.3,24.4,63.544,1354534,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,False,False,True,0.0185,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TATAPOWER.NS,2025-09-12,2025-09-12,386.25,0.209,False,,0.49,False,SELL,392.32,377.15,6.065,50.238,3407158,Utilities,Utilities - Independent Power Producers,1.5,False,False,False,False,0.0157,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
TITAN.NS,2025-09-12,2025-09-12,3571.9,0.553,False,,0.7,True,HOLD,,,53.551,47.973,592826,Consumer Cyclical,Luxury Goods,,False,False,False,True,0.015,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
IEX.NS,2025-09-12,2025-09-12,144.84,0.464,False,,0.68,False,SELL,148.46,139.41,3.622,48.342,5248102,Financial Services,Capital Markets,1.5,False,False,False,False,0.025,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NESTLEIND.NS,2025-09-12,2025-09-12,1217.6,0.238,False,,0.67,True,HOLD,,,22.906,61.77,1448591,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
NAVINFLUOR.NS,2025-09-12,2025-09-12,4791.0,0.261,False,,0.67,False,SELL,4921.9,4594.65,130.898,47.233,87562,Basic Materials,Chemicals,1.5,False,False,False,True,0.0273,True,True,,,0.0,0.0,0.0,1225,0,2025-09-12
