ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
GODREJPROP.NS,2025-09-12,2025-09-12,1998.9,0.74,False,,0.54,False,HOLD,,,46.762,46.06,611222,Real Estate,Real Estate - Development,,False,False,False,False,0.0234,True,True,,
LUPIN.NS,2025-09-12,2025-09-12,2043.4,0.623,False,,0.47,True,HOLD,2002.71,2104.44,40.692,67.824,625721,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,True,False,False,0.0199,True,True,,
CONCOR.NS,2025-09-12,2025-09-12,550.05,0.702,False,,0.7,False,HOLD,,,10.324,49.362,858022,Industrials,Railroads,,False,True,False,False,0.0188,True,True,,
PGEL.NS,2025-09-12,2025-09-12,569.9,0.852,False,,0.55,False,HOLD,,,26.747,43.536,6283229,Technology,Electronic Components,,False,False,False,False,0.0469,True,True,,
INDUSINDBK.NS,2025-09-12,2025-09-12,740.5,0.252,False,,0.48,False,SELL,755.6,717.85,15.099,37.105,2126542,Financial Services,Banks - Regional,1.5,False,False,False,False,0.0204,True,True,,
DIVISLAB.NS,2025-09-12,2025-09-12,6026.5,0.394,False,,0.69,False,HOLD,,,117.082,40.169,368000,Healthcare,Drug Manufacturers - Specialty & Generic,,False,True,False,False,0.0194,True,True,,
AXISBANK.NS,2025-09-12,2025-09-12,1105.3,0.501,False,,0.7,False,HOLD,,,16.163,64.795,5029264,Financial Services,Banks - Regional,,True,False,False,False,0.0146,True,True,,
CROMPTON.NS,2025-09-12,2025-09-12,314.45,0.395,False,,0.7,False,SELL,321.33,304.13,6.877,35.496,1957400,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1.5,False,False,False,False,0.0219,True,True,,
IDFCFIRSTB.NS,2025-09-12,2025-09-12,72.04,0.465,False,,0.57,True,HOLD,,,1.297,55.683,17580717,Financial Services,Banks - Regional,,False,False,False,True,0.018,True,True,,
NYKAA.NS,2025-09-12,2025-09-12,239.17,0.249,False,,0.45,True,HOLD,,,6.156,62.28,6899850,Consumer Cyclical,Internet Retail,,False,False,False,True,0.0257,True,True,,
ALKEM.NS,2025-09-12,2025-09-12,5448.0,0.599,False,,0.52,True,HOLD,5355.72,5586.42,92.279,67.145,132972,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,False,False,False,True,0.0169,True,True,,
ICICIPRULI.NS,2025-09-12,2025-09-12,600.8,0.355,False,,0.69,False,SELL,613.62,581.57,12.819,41.678,977370,Financial Services,Insurance - Life,1.5,False,True,False,False,0.0213,True,True,,
KOTAKBANK.NS,2025-09-12,2025-09-12,1972.3,0.094,False,,0.58,False,SELL,2001.43,1928.6,29.134,46.159,2985362,Financial Services,Banks - Regional,1.5,False,False,False,False,0.0148,True,True,,
MARUTI.NS,2025-09-12,2025-09-12,15325.0,0.064,False,,0.64,True,HOLD,,,271.7,74.281,633434,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0177,True,True,,
ASTRAL.NS,2025-09-12,2025-09-12,1461.1,0.159,False,,0.53,False,SELL,1496.2,1408.45,35.101,59.043,951526,Industrials,Building Products & Equipment,1.5,False,False,False,False,0.024,True,True,,
BSE.NS,2025-09-12,2025-09-12,2201.2,0.221,False,,0.7,False,SELL,2286.11,2073.83,84.911,41.54,5028686,Financial Services,Financial Data & Stock Exchanges,1.5,False,False,False,True,0.0386,True,True,,
MRF.NS,2025-09-12,2025-09-12,146570.0,0.636,False,,0.67,True,HOLD,,,3561.452,50.505,8753,Consumer Cyclical,Auto Parts,,False,False,True,True,0.0243,True,True,,
