ticker,feature,psi
DRREDDY.NS,ema_50,20.2804
DRREDDY.NS,ema_200,16.7256
DRREDDY.NS,ret_1,0.0259
DRREDDY.NS,ret_5,0.0595
DRREDDY.NS,ret_10,0.0796
ZYDUSLIFE.NS,rsi,0.1959
ZYDUSLIFE.NS,atr,5.4224
ZYDUSLIFE.NS,ema_20,22.7967
ZYDUSLIFE.NS,ema_50,22.8024
ZYDUSLIFE.NS,ema_200,20.0125
ZYDUSLIFE.NS,ret_1,0.0425
ZYDUSLIFE.NS,ret_5,0.0977
ZYDUSLIFE.NS,ret_10,0.2022
SBIN.NS,rsi,0.0933
SBIN.NS,atr,1.3496
SBIN.NS,ema_20,23.104
SBIN.NS,ema_50,26.3365
SBIN.NS,ema_200,29.9549
SBIN.NS,ret_1,0.1343
SBIN.NS,ret_5,0.1947
SBIN.NS,ret_10,0.2741
GLAND.NS,rsi,0.2095
GLAND.NS,atr,12.0747
GLAND.NS,ema_20,13.7351
GLAND.NS,ema_50,16.3623
GLAND.NS,ema_200,27.5754
GLAND.NS,ret_1,0.0826
GLAND.NS,ret_5,0.0786
GLAND.NS,ret_10,0.0841
EICHERMOT.NS,rsi,0.1344
EICHERMOT.NS,atr,1.9389
EICHERMOT.NS,ema_20,22.8501
EICHERMOT.NS,ema_50,22.9624
EICHERMOT.NS,ema_200,29.9681
EICHERMOT.NS,ret_1,0.094
EICHERMOT.NS,ret_5,0.0924
EICHERMOT.NS,ret_10,0.0994
NESTLEIND.NS,rsi,0.045
NESTLEIND.NS,atr,5.3862
NESTLEIND.NS,ema_20,23.9471
NESTLEIND.NS,ema_50,26.8934
NESTLEIND.NS,ema_200,30.212
NESTLEIND.NS,ret_1,0.0575
NESTLEIND.NS,ret_5,0.0447
NESTLEIND.NS,ret_10,0.0661
AFFLE.NS,rsi,0.1854
AFFLE.NS,atr,0.4162
AFFLE.NS,ema_20,11.5321
AFFLE.NS,ema_50,11.3269
AFFLE.NS,ema_200,15.4179
AFFLE.NS,ret_1,0.0742
AFFLE.NS,ret_5,0.0911
AFFLE.NS,ret_10,0.2263
OBEROIRLTY.NS,rsi,0.0368
OBEROIRLTY.NS,atr,4.9124
OBEROIRLTY.NS,ema_20,23.1153
OBEROIRLTY.NS,ema_50,23.0988
OBEROIRLTY.NS,ema_200,26.6857
OBEROIRLTY.NS,ret_1,0.0382
OBEROIRLTY.NS,ret_5,0.0613
OBEROIRLTY.NS,ret_10,0.0798
IDFCFIRSTB.NS,rsi,0.0673
IDFCFIRSTB.NS,atr,0.7806
IDFCFIRSTB.NS,ema_20,26.4099
IDFCFIRSTB.NS,ema_50,26.9389
IDFCFIRSTB.NS,ema_200,37.2473
IDFCFIRSTB.NS,ret_1,0.1615
IDFCFIRSTB.NS,ret_5,0.1886
IDFCFIRSTB.NS,ret_10,0.2865
CANFINHOME.NS,rsi,0.0428
CANFINHOME.NS,atr,0.3063
CANFINHOME.NS,ema_20,23.113
CANFINHOME.NS,ema_50,26.586
CANFINHOME.NS,ema_200,23.301
CANFINHOME.NS,ret_1,0.0706
CANFINHOME.NS,ret_5,0.0782
CANFINHOME.NS,ret_10,0.1525
BPCL.NS,rsi,0.1119
BPCL.NS,atr,8.6944
BPCL.NS,ema_20,15.6395
BPCL.NS,ema_50,15.7223
BPCL.NS,ema_200,12.6909
BPCL.NS,ret_1,0.0441
BPCL.NS,ret_5,0.0443
BPCL.NS,ret_10,0.0897
FEDERALBNK.NS,rsi,0.0897
FEDERALBNK.NS,atr,4.7284
FEDERALBNK.NS,ema_20,29.8452
FEDERALBNK.NS,ema_50,29.8049
FEDERALBNK.NS,ema_200,37.2473
FEDERALBNK.NS,ret_1,0.2067
FEDERALBNK.NS,ret_5,0.1635
FEDERALBNK.NS,ret_10,0.2503
GODREJPROP.NS,rsi,0.0748
GODREJPROP.NS,atr,0.8781
GODREJPROP.NS,ema_20,5.6134
GODREJPROP.NS,ema_50,8.6822
GODREJPROP.NS,ema_200,15.2323
GODREJPROP.NS,ret_1,0.0196
GODREJPROP.NS,ret_5,0.0513
GODREJPROP.NS,ret_10,0.0457
MARICO.NS,rsi,0.0348
MARICO.NS,atr,4.3502
MARICO.NS,ema_20,12.3133
MARICO.NS,ema_50,12.5267
MARICO.NS,ema_200,23.0322
MARICO.NS,ret_1,0.0146
MARICO.NS,ret_5,0.021
MARICO.NS,ret_10,0.017
ONGC.NS,rsi,0.0699
ONGC.NS,atr,1.7644
ONGC.NS,ema_20,26.4482
ONGC.NS,ema_50,29.833
ONGC.NS,ema_200,29.8555
ONGC.NS,ret_1,0.0741
ONGC.NS,ret_5,0.1141
ONGC.NS,ret_10,0.1586
YESBANK.NS,rsi,0.0652
YESBANK.NS,atr,0.3544
YESBANK.NS,ema_20,19.0272
YESBANK.NS,ema_50,19.4942
YESBANK.NS,ema_200,29.8419
YESBANK.NS,ret_1,0.0479
YESBANK.NS,ret_5,0.0659
YESBANK.NS,ret_10,0.0464
HEROMOTOCO.NS,rsi,0.3833
HEROMOTOCO.NS,atr,5.1002
HEROMOTOCO.NS,ema_20,12.4787
HEROMOTOCO.NS,ema_50,12.3615
HEROMOTOCO.NS,ema_200,12.3721
HEROMOTOCO.NS,ret_1,0.0341
HEROMOTOCO.NS,ret_5,0.1041
HEROMOTOCO.NS,ret_10,0.1564
TCS.NS,rsi,0.1118
TCS.NS,atr,0.7066
TCS.NS,ema_20,8.3487
TCS.NS,ema_50,11.6955
TCS.NS,ema_200,18.8406
TCS.NS,ret_1,0.0384
TCS.NS,ret_5,0.1203
TCS.NS,ret_10,0.1117
ALKEM.NS,rsi,0.1409
ALKEM.NS,atr,8.6033
ALKEM.NS,ema_20,19.4384
ALKEM.NS,ema_50,19.3861
ALKEM.NS,ema_200,22.8173
ALKEM.NS,ret_1,0.0542
ALKEM.NS,ret_5,0.0512
ALKEM.NS,ret_10,0.0563
COLPAL.NS,rsi,0.2938
COLPAL.NS,atr,13.2827
COLPAL.NS,ema_20,19.9781
COLPAL.NS,ema_50,19.7263
COLPAL.NS,ema_200,19.5546
COLPAL.NS,ret_1,0.056
COLPAL.NS,ret_5,0.1344
COLPAL.NS,ret_10,0.1619
TATACONSUM.NS,rsi,0.0571
TATACONSUM.NS,atr,4.7466
TATACONSUM.NS,ema_20,19.9251
TATACONSUM.NS,ema_50,19.7881
TATACONSUM.NS,ema_200,26.2536
TATACONSUM.NS,ret_1,0.0351
TATACONSUM.NS,ret_5,0.0316
TATACONSUM.NS,ret_10,0.087
BHARATFORG.NS,rsi,0.2155
BHARATFORG.NS,atr,12.5505
BHARATFORG.NS,ema_20,26.4265
BHARATFORG.NS,ema_50,29.8143
BHARATFORG.NS,ema_200,30.0997
BHARATFORG.NS,ret_1,0.0645
BHARATFORG.NS,ret_5,0.0619
BHARATFORG.NS,ret_10,0.0472
INFY.NS,rsi,0.1803
INFY.NS,atr,0.3098
INFY.NS,ema_20,0.7458
INFY.NS,ema_50,5.0765
INFY.NS,ema_200,9.2413
INFY.NS,ret_1,0.0597
INFY.NS,ret_5,0.0466
INFY.NS,ret_10,0.0379
IREDA.NS,rsi,1.1925
IREDA.NS,atr,8.335
IREDA.NS,ema_20,5.2261
IREDA.NS,ema_50,8.72
IREDA.NS,ema_200,18.1896
IREDA.NS,ret_1,0.2877
IREDA.NS,ret_5,0.2133
IREDA.NS,ret_10,0.5901
CUMMINSIND.NS,rsi,0.0692
CUMMINSIND.NS,atr,19.4428
CUMMINSIND.NS,ema_20,30.6627
CUMMINSIND.NS,ema_50,37.2473
CUMMINSIND.NS,ema_200,37.2473
CUMMINSIND.NS,ret_1,0.0451
CUMMINSIND.NS,ret_5,0.0345
CUMMINSIND.NS,ret_10,0.0655
BANKBARODA.NS,rsi,0.1319
BANKBARODA.NS,atr,5.9174
BANKBARODA.NS,ema_20,30.0997
BANKBARODA.NS,ema_50,30.12
BANKBARODA.NS,ema_200,37.2473
BANKBARODA.NS,ret_1,0.1639
BANKBARODA.NS,ret_5,0.3147
BANKBARODA.NS,ret_10,0.494
MRF.NS,rsi,0.2034
