Date,Open,High,Low,Close,AdjClose,Volume
2020-09-14,465.25,481.8500061035156,465.0,475.6000061035156,459.5057373046875,4172860
2020-09-15,478.5,481.3999938964844,471.75,476.70001220703125,460.5685729980469,1682826
2020-09-16,476.70001220703125,487.54998779296875,475.04998779296875,480.6499938964844,464.3848876953125,2974795
2020-09-17,474.0,483.6000061035156,469.04998779296875,478.6499938964844,462.45257568359375,1180931
2020-09-18,481.0,487.3999938964844,476.6000061035156,479.3500061035156,463.1288146972656,2531657
2020-09-21,479.3500061035156,483.79998779296875,451.04998779296875,455.04998779296875,439.65118408203125,2037919
2020-09-22,453.5,459.95001220703125,433.1000061035156,452.6499938964844,437.3323974609375,2301486
2020-09-23,454.0,457.8999938964844,443.20001220703125,446.6499938964844,431.53546142578125,1794217
2020-09-24,441.3999938964844,444.0,427.5,431.25,416.6566162109375,1423380
2020-09-25,433.8999938964844,448.6499938964844,428.6499938964844,444.8999938964844,429.8446350097656,2974187
2020-09-28,452.0,457.8999938964844,445.0,454.1499938964844,438.7816162109375,1904837
2020-09-29,457.3999938964844,459.3500061035156,447.04998779296875,449.3500061035156,434.1440734863281,1367811
2020-09-30,448.1499938964844,451.45001220703125,444.1000061035156,447.54998779296875,432.40496826171875,626631
2020-10-01,448.0,455.79998779296875,445.6499938964844,448.1499938964844,432.98468017578125,1061152
2020-10-05,458.04998779296875,469.0,454.3999938964844,465.6000061035156,449.84417724609375,5051942
2020-10-06,470.25,472.8999938964844,463.54998779296875,466.20001220703125,450.4238586425781,1899037
2020-10-07,469.45001220703125,476.79998779296875,465.6000061035156,468.0,452.1629333496094,2235404
2020-10-08,472.54998779296875,474.0,464.04998779296875,467.29998779296875,451.4866027832031,1218220
2020-10-09,465.25,478.0,464.04998779296875,465.79998779296875,450.0373229980469,1711557
2020-10-12,468.0,469.95001220703125,452.25,460.29998779296875,444.7235107421875,1748962
2020-10-13,459.8999938964844,476.75,456.20001220703125,458.0,442.5013732910156,2213111
2020-10-14,456.95001220703125,456.95001220703125,439.5,443.5,428.49200439453125,2792999
2020-10-15,443.0,458.29998779296875,441.04998779296875,444.95001220703125,429.8929443359375,3117587
2020-10-16,447.6000061035156,458.75,446.1000061035156,452.5,437.18743896484375,1925347
2020-10-19,455.20001220703125,458.45001220703125,450.5,451.45001220703125,436.1729736328125,1077488
2020-10-20,450.0,462.5,445.75,461.1499938964844,445.54473876953125,2114068
2020-10-21,465.0,468.6000061035156,452.29998779296875,457.45001220703125,441.969970703125,2076931
2020-10-22,453.1000061035156,467.20001220703125,452.75,464.1000061035156,448.39495849609375,1720250
2020-10-23,468.20001220703125,498.75,462.0,495.1000061035156,478.34588623046875,6277025
2020-10-26,495.1000061035156,495.8999938964844,476.54998779296875,483.3999938964844,467.04180908203125,2591511
2020-10-27,482.5,482.5,465.6000061035156,468.54998779296875,452.6943359375,1620444
2020-10-28,474.0,484.5,457.3999938964844,460.04998779296875,444.48193359375,3254704
2020-10-29,452.04998779296875,458.8500061035156,447.25,454.95001220703125,439.5545654296875,1587359
2020-10-30,454.95001220703125,459.75,448.0,451.29998779296875,436.0281066894531,1699783
2020-11-02,454.0,457.1000061035156,445.0,450.8999938964844,435.6416015625,1634382
2020-11-03,454.8500061035156,462.20001220703125,452.5,458.3500061035156,442.8395080566406,1770775
2020-11-04,460.0,472.25,456.5,463.75,448.0567626953125,2696842
2020-11-05,469.75,475.0,463.3999938964844,473.1499938964844,457.1386413574219,2054891
2020-11-06,474.29998779296875,486.8500061035156,473.5,477.04998779296875,460.90667724609375,2572553
2020-11-09,480.6000061035156,495.0,480.5,493.75,477.04156494140625,2672873
2020-11-10,497.95001220703125,539.6500244140625,495.04998779296875,519.7000122070312,502.11346435546875,8129967
2020-11-11,520.0,530.6500244140625,494.6499938964844,499.75,482.8385009765625,6034436
2020-11-12,495.0,508.25,490.54998779296875,496.75,479.9400634765625,2931252
2020-11-13,496.3999938964844,498.5,478.0,481.1000061035156,464.8196716308594,2769394
2020-11-14,486.8500061035156,487.04998779296875,482.1000061035156,484.1499938964844,467.76641845703125,189696
2020-11-17,488.0,499.6000061035156,486.5,495.0,478.249267578125,3239040
2020-11-18,493.79998779296875,507.5,490.20001220703125,499.8999938964844,482.98345947265625,2392506
2020-11-19,499.70001220703125,516.5,497.20001220703125,510.0,492.7416687011719,4484398
2020-11-20,514.3499755859375,518.0,493.29998779296875,497.29998779296875,480.4714050292969,2246948
2020-11-23,500.6000061035156,503.0,491.20001220703125,499.20001220703125,482.3071594238281,2223551
2020-11-24,500.0,502.79998779296875,492.1000061035156,494.1000061035156,477.3797302246094,1461928
2020-11-25,498.0,508.8999938964844,492.75,495.8500061035156,479.0705261230469,2961694
2020-11-26,499.25,517.5,498.3500061035156,513.2000122070312,495.8333740234375,4272886
2020-11-27,517.0,525.7000122070312,499.8500061035156,508.3500061035156,491.1475524902344,4848508
2020-12-01,513.5,513.7999877929688,499.29998779296875,509.0,491.7755126953125,1690088
2020-12-02,513.0,527.3499755859375,510.3999938964844,515.6500244140625,498.2005310058594,3312276
2020-12-03,532.0,542.0999755859375,519.0,539.4000244140625,521.1469116210938,5331095
2020-12-04,540.9000244140625,565.5,540.2000122070312,551.9500122070312,533.2720336914062,8988023
2020-12-07,555.7999877929688,560.5999755859375,544.3499755859375,549.2999877929688,530.7117919921875,2321595
2020-12-08,551.0,557.0,535.0,544.0499877929688,525.6394653320312,1784366
2020-12-09,552.0,562.0,544.5,548.5,529.9388427734375,3735074
2020-12-10,550.0,551.0,535.6500244140625,539.2000122070312,520.9534912109375,1919646
2020-12-11,540.4000244140625,557.5,539.0499877929688,552.2000122070312,533.513671875,4950148
2020-12-14,555.0,555.9000244140625,540.0499877929688,541.1500244140625,522.8375854492188,1678590
2020-12-15,543.0,562.0999755859375,538.2999877929688,553.75,535.01123046875,3276928
2020-12-16,565.0,567.25,550.75,556.7000122070312,537.861328125,3279346
2020-12-17,554.9000244140625,563.4500122070312,550.0999755859375,557.5,538.6343994140625,2079622
2020-12-18,560.2000122070312,562.9000244140625,546.0999755859375,555.6500244140625,536.8468627929688,3045825
2020-12-21,550.0,554.9500122070312,502.6499938964844,524.2000122070312,506.46112060546875,2872623
2020-12-22,524.0,533.2999877929688,492.1000061035156,517.6500244140625,500.13287353515625,4837913
2020-12-23,518.6500244140625,543.5,511.25,538.5,520.2772827148438,2466862
2020-12-24,505.0,540.9000244140625,505.0,526.5999755859375,508.7799072265625,4567503
2020-12-28,530.0,533.25,524.25,527.7999877929688,509.93927001953125,1642152
2020-12-29,526.0,532.8499755859375,519.25,523.4500122070312,505.7365417480469,1174879
2020-12-30,521.4000244140625,526.0,513.3499755859375,517.5999755859375,500.08441162109375,1583260
2020-12-31,520.0,527.0,518.0999755859375,525.2999877929688,507.52392578125,1163755
2021-01-01,527.6500244140625,540.0,524.25,538.0999755859375,519.8907470703125,1528589
2021-01-04,546.5,553.75,534.2000122070312,552.5999755859375,533.9000244140625,2925683
2021-01-05,548.75,558.7000122070312,538.25,556.5499877929688,537.7163696289062,1897354
2021-01-06,557.0,559.0,542.0999755859375,548.2999877929688,529.7456665039062,1600465
2021-01-07,555.0,603.0999755859375,550.0,598.8499755859375,578.5850219726562,13271502
2021-01-08,601.0,606.0,593.5999755859375,603.2999877929688,582.8844604492188,2897356
2021-01-11,604.0,622.8499755859375,597.9000244140625,610.9500122070312,590.2755126953125,4065354
2021-01-12,608.0,625.0,605.2999877929688,621.4000244140625,600.3718872070312,2348196
2021-01-13,624.7000122070312,676.9000244140625,615.25,628.25,606.9901733398438,15115174
2021-01-14,632.7999877929688,640.0,611.1500244140625,622.4500122070312,601.3863525390625,2579015
2021-01-15,622.5,627.7000122070312,601.0499877929688,613.5499877929688,592.7875366210938,2656981
2021-01-18,612.5499877929688,613.5499877929688,579.25,588.7999877929688,568.8750610351562,2240300
2021-01-19,590.6500244140625,600.9500122070312,589.5,599.2000122070312,578.9231567382812,2200851
2021-01-20,601.9500122070312,625.5499877929688,601.0499877929688,621.5499877929688,600.516845703125,3431694
2021-01-21,627.0,637.3499755859375,612.7999877929688,618.8499755859375,597.908203125,2847910
2021-01-22,618.8499755859375,644.5,618.0,629.4000244140625,608.1012573242188,5322813
