Date,Open,High,Low,Close,AdjClose,Volume
2020-10-26,385.54998779296875,389.0,379.79998779296875,384.75,374.7613830566406,1243433
2020-10-27,384.70001220703125,400.79998779296875,379.3500061035156,397.20001220703125,386.88818359375,2381246
2020-10-28,399.54998779296875,401.0,385.04998779296875,389.8500061035156,379.7290344238281,1880141
2020-10-29,387.0,390.3999938964844,378.6499938964844,383.8999938964844,373.9334411621094,915022
2020-10-30,385.79998779296875,395.79998779296875,382.8500061035156,390.8999938964844,380.75177001953125,1341668
2020-11-02,392.0,394.3999938964844,385.3999938964844,392.1499938964844,381.96929931640625,965278
2020-11-03,392.04998779296875,401.5,390.54998779296875,398.8500061035156,388.495361328125,1535958
2020-11-04,400.0,401.70001220703125,395.29998779296875,397.95001220703125,387.6187744140625,1393413
2020-11-05,399.25,409.3999938964844,398.20001220703125,407.29998779296875,396.7259216308594,1778251
2020-11-06,396.0,399.0,371.8999938964844,378.04998779296875,368.2353820800781,13573170
2020-11-09,381.0,383.45001220703125,375.25,380.3999938964844,370.5243225097656,3100541
2020-11-10,382.0,389.3999938964844,378.6000061035156,388.1000061035156,378.0244445800781,2457889
2020-11-11,388.79998779296875,408.0,386.6000061035156,400.25,389.8590393066406,3859064
2020-11-12,400.70001220703125,402.70001220703125,398.0,399.6499938964844,389.2746276855469,1905529
2020-11-13,398.5,403.0,393.0,399.8500061035156,389.46942138671875,1652461
2020-11-14,403.79998779296875,415.79998779296875,400.0,412.70001220703125,401.98583984375,923318
2020-11-17,416.8500061035156,416.8500061035156,401.95001220703125,409.04998779296875,398.4305114746094,2992236
2020-11-18,408.75,409.3999938964844,396.0,408.25,397.65130615234375,1896679
2020-11-19,405.79998779296875,415.0,403.6499938964844,408.25,397.65130615234375,2169845
2020-11-20,410.0,418.29998779296875,408.20001220703125,410.0,399.35589599609375,2623059
2020-11-23,414.0,418.8500061035156,409.8999938964844,412.3500061035156,401.6448669433594,1601718
2020-11-24,414.45001220703125,416.5,406.6000061035156,410.95001220703125,400.28125,1608608
2020-11-25,410.95001220703125,413.3500061035156,398.6499938964844,399.6499938964844,389.2746276855469,1877065
2020-11-26,402.0,409.0,393.29998779296875,407.3999938964844,396.8233947753906,2197699
2020-11-27,408.25,413.95001220703125,397.6000061035156,406.04998779296875,395.5083923339844,5685513
2020-12-01,409.5,413.0,397.3999938964844,409.6499938964844,399.0149841308594,3164488
2020-12-02,413.0,413.5,405.0,409.79998779296875,399.1611022949219,2200909
2020-12-03,415.0,422.8999938964844,407.0,417.6000061035156,406.7585754394531,5670711
2020-12-04,420.0,420.6499938964844,409.04998779296875,412.6499938964844,401.9371032714844,2617938
2020-12-07,412.0,415.5,409.0,410.3500061035156,399.6968688964844,2571744
2020-12-08,410.1000061035156,413.95001220703125,402.70001220703125,404.54998779296875,394.0473937988281,3399029
2020-12-09,407.04998779296875,408.6499938964844,401.3999938964844,403.45001220703125,392.9759521484375,2934474
2020-12-10,405.6000061035156,406.0,391.04998779296875,402.25,391.8070983886719,2098666
2020-12-11,406.0,409.3999938964844,396.0,400.8500061035156,390.4434509277344,2878119
2020-12-14,402.70001220703125,408.1000061035156,401.20001220703125,404.0,393.51165771484375,2631263
2020-12-15,407.0,415.8500061035156,402.79998779296875,412.8999938964844,402.1806335449219,3714347
2020-12-16,416.0,417.6499938964844,406.25,407.8500061035156,397.2617492675781,3238410
2020-12-17,410.8500061035156,417.5,405.1000061035156,408.75,398.13836669921875,2958532
2020-12-18,408.75,409.79998779296875,398.3500061035156,405.25,394.7292175292969,2096819
2020-12-21,406.0,407.6000061035156,369.0,379.3999938964844,369.55029296875,3899926
2020-12-22,382.0,387.8999938964844,365.04998779296875,386.29998779296875,376.2711486816406,2682621
2020-12-23,388.0,392.79998779296875,382.54998779296875,391.8500061035156,381.6770935058594,2191218
2020-12-24,394.5,396.3500061035156,390.0,392.20001220703125,382.01806640625,1378601
2020-12-28,394.75,397.5,391.20001220703125,392.5,382.3102111816406,1652125
2020-12-29,394.8999938964844,402.95001220703125,390.25,397.45001220703125,387.1316833496094,1845094
2020-12-30,399.1000061035156,401.5,392.1499938964844,398.8500061035156,388.495361328125,1596712
2020-12-31,398.20001220703125,403.25,396.45001220703125,399.29998779296875,388.9336242675781,1601573
2021-01-01,400.45001220703125,405.5,399.29998779296875,403.3999938964844,392.9272155761719,1345602
2021-01-04,405.8999938964844,418.75,403.70001220703125,413.79998779296875,403.0572509765625,4721177
2021-01-05,413.79998779296875,416.95001220703125,408.20001220703125,415.20001220703125,404.4208984375,2757851
2021-01-06,420.0,444.8999938964844,417.0,433.95001220703125,422.68414306640625,11715662
2021-01-07,438.1499938964844,442.0,429.29998779296875,431.29998779296875,420.1029052734375,3263640
2021-01-08,436.95001220703125,446.95001220703125,433.79998779296875,442.54998779296875,431.06085205078125,5146410
2021-01-11,445.0,445.54998779296875,433.0,439.54998779296875,428.13873291015625,2661411
2021-01-12,441.95001220703125,449.79998779296875,435.54998779296875,445.6000061035156,434.03167724609375,4222486
2021-01-13,448.0,450.54998779296875,433.0,439.5,428.09002685546875,2745987
2021-01-14,441.0,450.95001220703125,440.8500061035156,448.29998779296875,436.6615905761719,3761138
2021-01-15,448.25,448.25,430.1499938964844,432.79998779296875,421.5639953613281,2566735
2021-01-18,432.79998779296875,434.54998779296875,421.20001220703125,425.1499938964844,414.1125793457031,2097777
2021-01-19,426.8500061035156,440.6000061035156,426.8500061035156,437.0,425.6549377441406,1664611
2021-01-20,437.3999938964844,444.0,435.29998779296875,436.75,425.4114074707031,2707904
2021-01-21,437.0,443.70001220703125,424.20001220703125,428.25,417.13214111328125,1176261
2021-01-22,428.0,435.6000061035156,424.29998779296875,428.6499938964844,417.5216979980469,2695024
2021-01-25,428.79998779296875,430.0,403.0,421.25,410.3138427734375,2142180
2021-01-27,423.70001220703125,443.29998779296875,421.0,432.95001220703125,421.7101135253906,5402116
2021-01-28,428.6499938964844,441.8999938964844,424.1000061035156,437.20001220703125,425.8497314453125,2040445
2021-01-29,440.0,457.45001220703125,431.0,433.5,422.245849609375,4558422
2021-02-01,437.0,457.0,426.20001220703125,454.04998779296875,442.2622985839844,2609450
2021-02-02,456.0,462.79998779296875,450.1499938964844,455.6000061035156,443.7720642089844,1988474
2021-02-03,459.0,473.6000061035156,459.0,464.45001220703125,452.392333984375,3880608
2021-02-04,464.3999938964844,481.79998779296875,460.3999938964844,479.0,466.5645751953125,3748605
2021-02-05,488.95001220703125,491.5,461.75,466.8500061035156,454.7300109863281,4967630
2021-02-08,470.20001220703125,515.5,470.20001220703125,502.45001220703125,489.40582275390625,8821777
2021-02-09,503.0,508.8999938964844,498.6499938964844,502.25,489.2109680175781,2645701
2021-02-10,506.0,511.25,493.6499938964844,500.25,487.26287841796875,1834353
2021-02-11,498.0,507.0,492.29998779296875,500.95001220703125,487.9447326660156,919182
2021-02-12,499.8999938964844,573.0499877929688,495.6000061035156,549.5,535.2343139648438,14059902
2021-02-15,543.0,548.9500122070312,534.0499877929688,544.2999877929688,530.1692504882812,2657865
2021-02-16,545.0499877929688,546.5,528.5999755859375,537.1500244140625,523.2050170898438,3175417
2021-02-17,532.5,566.8499755859375,532.5,541.5499877929688,527.49072265625,5953486
2021-02-18,542.1500244140625,563.5499877929688,542.1500244140625,556.0999755859375,541.6629028320312,3794478
2021-02-19,556.9000244140625,587.5,556.5,568.9500122070312,554.1793823242188,9880580
2021-02-22,568.9000244140625,568.9500122070312,544.25,549.2000122070312,534.9420776367188,2299939
2021-02-23,556.6500244140625,571.0,548.1500244140625,557.2999877929688,542.831787109375,3149822
2021-02-24,568.0,595.0,565.7000122070312,581.3499755859375,566.2573852539062,3900108
2021-02-25,593.8499755859375,597.0,571.4500122070312,575.2000122070312,560.26708984375,4200415
2021-02-26,566.0,585.9500122070312,550.2000122070312,557.8499755859375,543.3675537109375,4612425
2021-03-01,562.9000244140625,573.0,556.25,562.5,547.8967895507812,2068440
2021-03-02,571.9500122070312,582.0,568.5999755859375,572.2999877929688,557.4423828125,2410011
2021-03-03,575.0,588.0,573.5,578.3499755859375,563.3352661132812,2596642
2021-03-04,577.0,643.9500122070312,575.0499877929688,615.5499877929688,599.569580078125,15871139
2021-03-05,621.7000122070312,624.4500122070312,588.0499877929688,591.4000244140625,576.0464477539062,4647321
2021-03-08,604.7999877929688,621.9500122070312,592.9500122070312,597.25,581.7446899414062,5825950
2021-03-09,604.4500122070312,604.4500122070312,579.0999755859375,583.8499755859375,568.6925048828125,3375768
2021-03-10,593.7999877929688,593.7999877929688,567.5999755859375,573.6500244140625,558.7573852539062,2596632
2021-03-12,590.0,598.4000244140625,570.0,577.1500244140625,562.1664428710938,7816657
2021-03-15,562.5499877929688,572.5,553.0,560.5499877929688,545.9974365234375,3483548
2021-03-16,565.0,566.0,554.0,557.1500244140625,542.685791015625,1898170
2021-03-17,552.1500244140625,557.5,536.8499755859375,539.0999755859375,525.104248046875,2364082
2021-03-18,552.0,557.7999877929688,527.9000244140625,545.7000122070312,531.532958984375,4099158
2021-03-19,540.1500244140625,563.1500244140625,528.25,560.5499877929688,545.9974365234375,2726319
2021-03-22,560.0,567.1500244140625,550.8499755859375,560.75,546.1921997070312,1962206
2021-03-23,558.0,576.0,558.0,568.9000244140625,554.1306762695312,3483961
2021-03-24,564.0,577.25,555.25,558.75,544.244140625,1929662
2021-03-25,561.4000244140625,565.0,545.4000244140625,549.9500122070312,535.672607421875,2464529
2021-03-26,550.4500122070312,592.3499755859375,550.4500122070312,589.4000244140625,574.0984497070312,8163393
2021-03-30,589.4000244140625,610.1500244140625,587.5,597.7999877929688,582.2804565429688,6813462
2021-03-31,590.0999755859375,615.3499755859375,588.9000244140625,598.0,582.4751586914062,3786964
2021-04-01,605.0,606.0,593.3499755859375,598.5999755859375,583.0596313476562,2350611
2021-04-05,596.5,607.7999877929688,574.0999755859375,578.5999755859375,563.578857421875,1681325
2021-04-06,584.0,593.8499755859375,571.2000122070312,576.5,561.5333862304688,1625567
