Date,Open,High,Low,Close,AdjClose,Volume
2020-11-03,135.0,137.39999389648438,133.5500030517578,134.10000610351562,132.13600158691406,52071476
2020-11-04,135.60000610351562,137.0,134.0,135.89999389648438,133.90963745117188,44675934
2020-11-05,137.0,138.0,136.0,137.64999389648438,135.6339874267578,38928602
2020-11-06,137.64999389648438,142.3000030517578,137.64999389648438,139.0,136.9642333984375,67966815
2020-11-09,140.60000610351562,141.5,138.6999969482422,141.0,138.9349365234375,40277460
2020-11-10,144.0500030517578,146.6999969482422,142.75,146.0,143.86170959472656,68794369
2020-11-11,146.5,151.5,145.64999389648438,150.9499969482422,148.7392120361328,78583629
2020-11-12,150.9499969482422,153.85000610351562,150.0,151.1999969482422,148.9855499267578,56145517
2020-11-13,150.0,150.0,145.35000610351562,146.35000610351562,144.20660400390625,32566537
2020-11-14,148.6999969482422,150.8000030517578,148.0,148.85000610351562,146.66998291015625,11749453
2020-11-17,152.5,159.35000610351562,152.1999969482422,158.0,155.6859588623047,82644841
2020-11-18,158.85000610351562,178.8000030517578,158.5500030517578,173.5,170.95895385742188,171801183
2020-11-19,171.39999389648438,176.35000610351562,166.5500030517578,167.9499969482422,165.49021911621094,109449407
2020-11-20,170.0500030517578,171.5500030517578,165.5500030517578,169.10000610351562,166.62339782714844,66935703
2020-11-23,169.5,173.89999389648438,165.5500030517578,170.6999969482422,168.199951171875,54566251
2020-11-24,171.85000610351562,175.5,171.10000610351562,172.0500030517578,169.5301971435547,47695247
2020-11-25,175.0,176.8000030517578,169.25,171.4499969482422,168.93898010253906,54366608
2020-11-26,171.60000610351562,175.0,171.0500030517578,173.75,171.20529174804688,39094724
2020-11-27,174.64999389648438,183.85000610351562,174.64999389648438,180.35000610351562,177.70863342285156,125926062
2020-12-01,182.35000610351562,182.39999389648438,178.10000610351562,179.75,177.11741638183594,48881250
2020-12-02,184.0,187.35000610351562,181.10000610351562,183.60000610351562,180.91104125976562,88107889
2020-12-03,185.0,186.0,183.25,184.85000610351562,182.14273071289062,33332481
2020-12-04,186.5,188.8000030517578,182.1999969482422,184.14999389648438,181.45297241210938,47995639
2020-12-07,184.4499969482422,186.4499969482422,182.6999969482422,183.5500030517578,180.8617706298828,29802472
2020-12-08,184.9499969482422,185.6999969482422,178.9499969482422,181.8000030517578,179.13739013671875,42143391
2020-12-09,183.0,186.39999389648438,181.64999389648438,182.6999969482422,180.0242156982422,40300535
2020-12-10,182.6999969482422,182.6999969482422,176.39999389648438,177.60000610351562,174.9989013671875,38368777
2020-12-11,177.9499969482422,181.4499969482422,176.5,178.85000610351562,176.23060607910156,43065542
2020-12-14,181.0,181.5,176.6999969482422,177.64999389648438,175.04815673828125,33186273
2020-12-15,176.4499969482422,179.6999969482422,173.25,178.89999389648438,176.2798614501953,41190341
2020-12-16,181.0,183.8000030517578,180.10000610351562,182.5500030517578,179.8764190673828,51259394
2020-12-17,184.0,184.0,180.64999389648438,181.6999969482422,179.03884887695312,34101954
2020-12-18,180.89999389648438,181.5,176.64999389648438,180.5500030517578,177.90570068359375,46065197
2020-12-21,176.0,177.5500030517578,162.5,164.5500030517578,162.14004516601562,75582907
2020-12-22,164.5500030517578,169.1999969482422,156.6999969482422,164.9499969482422,162.53416442871094,110009846
2020-12-23,165.0,169.6999969482422,163.39999389648438,169.1999969482422,166.721923828125,56930071
2020-12-24,172.0,178.0,172.0,175.9499969482422,173.37306213378906,73831319
2020-12-28,179.85000610351562,187.39999389648438,179.0,186.35000610351562,183.6207733154297,98012135
2020-12-29,187.89999389648438,188.4499969482422,181.10000610351562,183.4499969482422,180.7632293701172,71318085
2020-12-30,183.10000610351562,185.39999389648438,180.39999389648438,184.14999389648438,181.45297241210938,38576159
2020-12-31,184.85000610351562,187.5,182.8000030517578,183.85000610351562,181.15737915039062,48978310
2021-01-01,184.9499969482422,187.0,184.5,186.5,183.7685546875,27334421
2021-01-04,191.8000030517578,193.0,188.75,191.3000030517578,188.49826049804688,63980597
2021-01-05,187.10000610351562,193.89999389648438,185.0500030517578,193.1999969482422,190.3704376220703,75752593
2021-01-06,194.4499969482422,197.60000610351562,190.64999389648438,195.39999389648438,192.5382080078125,75621947
2021-01-07,197.0,200.35000610351562,195.10000610351562,196.75,193.86843872070312,66024848
2021-01-08,198.75,201.5,197.10000610351562,198.14999389648438,195.2479248046875,53991568
2021-01-11,199.89999389648438,225.39999389648438,199.64999389648438,220.64999389648438,217.41839599609375,182483100
2021-01-12,227.0,252.39999389648438,224.10000610351562,237.8000030517578,234.31724548339844,390577839
2021-01-13,242.89999389648438,248.8000030517578,238.39999389648438,242.60000610351562,239.04693603515625,164649387
2021-01-14,242.85000610351562,249.8000030517578,238.60000610351562,245.10000610351562,241.51031494140625,86819519
2021-01-15,246.0,264.6499938964844,242.60000610351562,260.29998779296875,256.4877014160156,250038029
2021-01-18,261.6499938964844,262.45001220703125,241.14999389648438,245.9499969482422,242.34786987304688,173383224
2021-01-19,251.5,261.70001220703125,251.3000030517578,258.6499938964844,254.8618621826172,136861059
2021-01-20,260.0,277.5,258.8500061035156,274.8999938964844,270.8738708496094,205145151
