ticker,feature,psi
PRESTIGE.NS,ret_1,0.0658
PRESTIGE.NS,ret_5,0.1117
PRESTIGE.NS,ret_10,0.1448
VOLTAS.NS,rsi,0.0797
VOLTAS.NS,atr,4.5594
VOLTAS.NS,ema_20,8.9394
VOLTAS.NS,ema_50,8.8545
VOLTAS.NS,ema_200,9.2113
VOLTAS.NS,ret_1,0.0267
VOLTAS.NS,ret_5,0.0295
VOLTAS.NS,ret_10,0.0272
IREDA.NS,rsi,1.0531
IREDA.NS,atr,5.5729
IREDA.NS,ema_20,5.2611
IREDA.NS,ema_50,8.7891
IREDA.NS,ema_200,18.3175
IREDA.NS,ret_1,0.2882
IREDA.NS,ret_5,0.2022
IREDA.NS,ret_10,0.5214
COLPAL.NS,rsi,0.2924
COLPAL.NS,atr,13.2952
COLPAL.NS,ema_20,19.9812
COLPAL.NS,ema_50,19.7261
COLPAL.NS,ema_200,19.5556
COLPAL.NS,ret_1,0.0566
COLPAL.NS,ret_5,0.135
COLPAL.NS,ret_10,0.1613
CANFINHOME.NS,rsi,0.0433
CANFINHOME.NS,atr,0.3087
CANFINHOME.NS,ema_20,23.1527
CANFINHOME.NS,ema_50,26.6125
CANFINHOME.NS,ema_200,23.3005
CANFINHOME.NS,ret_1,0.0701
CANFINHOME.NS,ret_5,0.0786
CANFINHOME.NS,ret_10,0.1485
SUZLON.NS,rsi,0.1358
SUZLON.NS,atr,20.1486
SUZLON.NS,ema_20,26.5687
SUZLON.NS,ema_50,26.4931
SUZLON.NS,ema_200,29.8759
SUZLON.NS,ret_1,0.1735
SUZLON.NS,ret_5,0.1535
SUZLON.NS,ret_10,0.1899
AFFLE.NS,rsi,0.1905
AFFLE.NS,atr,0.4179
AFFLE.NS,ema_20,11.5586
AFFLE.NS,ema_50,11.3581
AFFLE.NS,ema_200,15.4433
AFFLE.NS,ret_1,0.0742
AFFLE.NS,ret_5,0.0899
AFFLE.NS,ret_10,0.2257
HDFCAMC.NS,rsi,0.7224
HDFCAMC.NS,atr,9.0311
HDFCAMC.NS,ema_20,12.2763
HDFCAMC.NS,ema_50,12.3745
HDFCAMC.NS,ema_200,12.5192
HDFCAMC.NS,ret_1,0.0615
HDFCAMC.NS,ret_5,0.1125
HDFCAMC.NS,ret_10,0.286
SUPREMEIND.NS,rsi,0.0567
SUPREMEIND.NS,atr,23.0176
SUPREMEIND.NS,ema_20,30.2729
