ticker,cagr,max_dd,winrate,n_days,n_trades,last_date
UPL.NS,0.85,-12.14,23.64,1239,55,2025-09-12
TORNTPHARM.NS,0.0,0.0,0.0,1226,0,2025-09-12
CONCOR.NS,0.0,0.0,0.0,1226,0,2025-09-12
BHARTIARTL.NS,-2.09,-19.0,20.55,1239,73,2025-09-12
PIIND.NS,0.0,0.0,0.0,1226,0,2025-09-12
GUJGASLTD.NS,0.0,0.0,0.0,1226,0,2025-09-12
SUNPHARMA.NS,0.0,0.0,0.0,1239,0,2025-09-12
PETRONET.NS,0.0,0.0,0.0,1226,0,2025-09-12
TIINDIA.NS,0.0,0.0,0.0,1226,0,2025-09-12
WIPRO.NS,0.0,0.0,0.0,1239,0,2025-09-12
HEROMOTOCO.NS,0.0,0.0,0.0,1239,0,2025-09-12
HINDUNILVR.NS,0.0,0.0,0.0,1239,0,2025-09-12
TATAELXSI.NS,0.0,0.0,0.0,1226,0,2025-09-12
OIL.NS,0.0,0.0,0.0,1226,0,2025-09-12
ZYDUSLIFE.NS,0.0,0.0,0.0,1226,0,2025-09-12
SRF.NS,0.0,0.0,0.0,1226,0,2025-09-12
PRESTIGE.NS,0.0,0.0,0.0,1226,0,2025-09-12
COFORGE.NS,0.0,0.0,0.0,1226,0,2025-09-12
NTPC.NS,9.4,-15.42,25.0,1239,74,2025-09-12
DEEPAKNTR.NS,0.0,0.0,0.0,1226,0,2025-09-12
BRITANNIA.NS,-3.74,-23.98,21.95,1239,61,2025-09-12
ULTRACEMCO.NS,0.0,0.0,0.0,1239,0,2025-09-12
POWERGRID.NS,5.47,-16.43,28.99,1239,69,2025-09-12
HCLTECH.NS,0.0,0.0,0.0,1239,0,2025-09-12
ADANIPORTS.NS,0.0,0.0,0.0,1239,0,2025-09-12
EICHERMOT.NS,0.0,0.0,0.0,1239,0,2025-09-12
PGEL.BO,0.0,0.0,0.0,1222,0,2025-09-12
AFFLE.NS,0.0,0.0,0.0,1226,0,2025-09-12
CANFINHOME.NS,0.0,0.0,0.0,1226,0,2025-09-12
GOKEX.NS,0.0,0.0,0.0,1226,0,2025-09-12
BPCL.NS,1.3,-19.31,24.42,1239,43,2025-09-12
DIVISLAB.NS,0.0,0.0,0.0,1239,0,2025-09-12
