ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
GRASIM.NS,2025-09-12,2025-09-12,2802.0,0.446,True,isotonic,0.55,True,HOLD,,,45.629,52.596,552403,Basic Materials,Building Materials,,False,False,True,True,0.0163,True,True,,
CIPLA.NS,2025-09-12,2025-09-12,1574.6,0.633,True,isotonic,0.55,True,HOLD,1550.22,1611.17,24.382,55.888,1090199,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,False,False,False,True,0.0155,True,True,,
LUPIN.NS,2025-09-12,2025-09-12,2043.4,0.561,True,isotonic,0.47,True,HOLD,2002.71,2104.44,40.692,67.824,625721,Healthcare,Drug Manufacturers - Specialty & Generic,1.5,True,True,False,False,0.0199,True,True,,
RELIANCE.NS,2025-09-12,2025-09-12,1395.0,0.533,True,isotonic,0.55,False,HOLD,,,19.982,52.265,9653998,Energy,Oil & Gas Refining & Marketing,,False,False,False,True,0.0143,True,True,,
BANKBARODA.NS,2025-09-12,2025-09-12,237.48,0.493,True,isotonic,0.55,False,HOLD,,,4.118,48.769,6111762,Financial Services,Banks - Regional,,False,False,False,True,0.0173,True,True,,
ULTRACEMCO.NS,2025-09-12,2025-09-12,12370.0,0.545,True,isotonic,0.55,True,HOLD,,,196.139,42.482,231966,Basic Materials,Building Materials,,False,False,False,True,0.0159,True,True,,
YESBANK.NS,2025-09-12,2025-09-12,20.86,0.446,True,isotonic,0.7,True,HOLD,,,0.429,66.967,93658292,Financial Services,Banks - Regional,,False,False,False,True,0.0206,True,True,,
SBIN.NS,2025-09-12,2025-09-12,823.55,0.238,True,isotonic,0.55,True,HOLD,,,8.857,60.615,5311675,Financial Services,Banks - Regional,,False,False,False,True,0.0108,True,True,,
PGEL.BO,2025-09-12,2025-09-12,570.05,0.626,True,isotonic,0.61,False,HOLD,,,27.692,43.229,559846,Technology,Electronic Components,,False,False,False,False,0.0486,True,True,,
COFORGE.NS,2025-09-12,2025-09-12,1764.0,0.698,True,isotonic,0.45,False,HOLD,,,46.508,55.775,1414442,Technology,Information Technology Services,,False,False,False,True,0.0264,True,True,,
SBICARD.NS,2025-09-12,2025-09-12,856.15,0.654,True,isotonic,0.46,False,HOLD,,,18.655,64.462,773143,Financial Services,Credit Services,,False,False,False,False,0.0218,True,True,,
NESTLEIND.NS,2025-09-12,2025-09-12,1217.6,0.526,True,isotonic,0.55,True,HOLD,,,22.906,61.77,1448591,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,
